Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"EPS diluted, Trailing 12 months","EPS diluted, Trailing 12 months - Currency","EPS diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst Rating
BTOC,Armlogi Holding Corp.,1.93,USD,-5.85365854,92480,0.41900378,80436845.36585367,USD,,-0.1288,USD,,0,Transportation,Neutral
BTTR,Better Choice Company Inc.,1.625,USD,1.5625,12233,0.02854404,3217660.46875,USD,,-20.0512,USD,58.24771678,0,Retail trade,
BUJA,Bukit Jalil Global Acquisition 1 Ltd.,11.38,USD,-0.08779631,861,0.05628223,56232200,USD,230.831643,0.0493,USD,,0,Finance,
BURCA,"Burnham Holdings, Inc.",17.5,USD,0,342,0.08355321,69747795.14705881,USD,6.82208015,2.5652,USD,26.01070885,5.41176,Producer manufacturing,
BW,"Babcock & Wilcox Enterprises, Inc.",1.055,USD,5.5,236110,0.24234622,99504049.925,USD,,-0.8346,USD,48.24186047,0,Electronic technology,Buy
BWEN,"Broadwind, Inc.",1.625,USD,8.33333333,103929,1.13290413,35935324.75000001,USD,11.28472222,0.144,USD,-14.38763377,0,Producer manufacturing,Strong buy
BWTL,"Bowlin Travel Centers, Inc.",3.8,USD,-5,100,0.113199,15834599,USD,,-0.0065,USD,-106.10902256,0,Consumer services,
BYFC,Broadway Financial Corporation,7.2185,USD,-1.92255435,507,0.28371572,65777606.36019021,USD,166.70900693,0.0433,USD,-92.39015817,0,Finance,
BYNO,byNordic Acquisition Corporation,11.4,USD,0.08779631,2099,0.70742476,87754869.99999999,USD,612.90322581,0.0186,USD,-90.58704453,0,Finance,
BYSI,"BeyondSpring, Inc.",1.63,USD,-4.11764706,343,0.03568567,65689572.41764706,USD,,-0.3987,USD,75.77175498,0,Health technology,
BZFD,"BuzzFeed, Inc.",2.05,USD,1.48514851,22642,0.05866812,77903491.08910891,USD,,-1.4281,USD,72.56660968,0,Technology services,
CABA,"Cabaletta Bio, Inc.",1.79,USD,1.70454545,200277,0.13855305,87490120.875,USD,,-2.1554,USD,-25.01595035,0,Health technology,Strong buy
CAHO,Caro Holdings Inc.,1.9,USD,0.42283298,770,0.13965721,70634034,USD,,-0.0129,USD,7.1942446,0,Consumer non-durables,
CALC,"CalciMedica, Inc.",2.13,USD,-6.16740088,27625,0.62021926,28716483.59471366,USD,,-1.5674,USD,94.80067139,0,Health technology,Strong buy
CAMP,CAMP4 Therapeutics Corporation,4.41,USD,-1.78173719,637,0.0251933,88910322.33407572,USD,,,,,0,Health technology,Strong buy
CAPN,Cayson Acquisition Corp,10.11,USD,-0.09881423,52025,1.84977778,79161300,USD,,,,,0,Finance,
CAPS,Capstone Therapeutics Corp,3.8,USD,39.57759412,5101,1.97521781,598918,USD,,-35.7972,USD,-14.46532836,0,Health technology,
CARA,"Cara Therapeutics, Inc.",4.3907,USD,-0.88713318,5657,0.34358146,20070894.70446953,USD,,-20.9897,USD,18.9855878,0,Health technology,
CARV,"Carver Bancorp, Inc.",1.61,USD,2.5477707,433,0.02628065,8226662.12101911,USD,,-1.9276,USD,-94.27534771,0,Finance,
CASI,"CASI Pharmaceuticals, Inc.",2.28,USD,0.44052863,4211,0.55026331,30555134,USD,,-2.2228,USD,26.29973475,0,Health technology,
CATO,Cato Corporation (The),2.8001,USD,-0.70567376,15085,0.30651287,57507820.30219858,USD,,-1.3233,USD,-726.54590881,24.1135,Retail trade,
CAVG,ACC Aviation Holdings Ltd.,1.14,USD,7.54716981,5300,1.16024518,14590858.9245283,USD,,0,USD,,0,Finance,
CBKM,"Consumers Bancorp, Inc.",19.4,USD,1.19979134,1010,1.18183946,60759505.32119635,USD,6.98168208,2.7787,USD,-11.89079494,3.90117,Finance,
CBRRF,Chain Bridge I,11.11,USD,-1.24444444,345,0.01324005,68615684.32919253,USD,49.37777778,0.225,USD,0.53619303,0,Finance,
CBUS,"Cibus, Inc.",2.31,USD,17.85714286,103574,0.58758156,78327707.46428573,USD,,-22.4822,USD,-21.65955973,0,Technology services,Buy
CBWA,Commencement Bancorp Inc,13.3,USD,-0.67214339,26600,4.24357481,55197436.99999999,USD,,,,,1.50376,Finance,
CCBC,Chino Commercial Bancorp,13.6,USD,-6.14216701,7520,10.44444444,43688145,USD,8.542177,1.5921,USD,3.59164552,0,Finance,
CCEL,"Cryo-Cell International, Inc.",6.64,USD,0.60606061,4475,0.30446112,53665535.35757576,USD,148.21428571,0.0448,USD,,7.57576,Transportation,Strong buy
CCLD,"CareCloud, Inc.",3.005,USD,0.50167224,10808,0.14211665,48849992.55685619,USD,,-3.195,USD,-147.29102167,0,Technology services,Buy
CCM,Concord Medical Services Holdings Limited,5.45,USD,6.23781676,3328,0.39961096,22273039,USD,,-12.0416,USD,21.67810335,0,Health services,
CCNB,Coastal Carolina Bancshares Inc,11.7,USD,-0.3407155,4608,1.49358226,71296349.00000001,USD,8.61117244,1.3587,USD,3.90792291,0,Finance,
CCTG,CCSC Technology International Holdings Limited,1.6001,USD,-6.42690058,304,0.00870113,26531623.03508773,USD,,-0.0271,USD,,0,Electronic technology,
CCTSF,Cactus Acquisition Corp. 1 Limited,11.12,USD,0.54249548,311,0.0774576,56432564.33993835,USD,,-0.0347,USD,-120.45990566,0,Finance,
CCYY,CCCB BANCORP INC.,5.53,USD,0.36297641,100,0.06211566,8499610,USD,,,,,2.62009,Finance,
CDAB,Coeur D Alene Bancorp,18.7,USD,0,2675,0.51291393,35362709.49593497,USD,,,,,1.08401,Finance,
CDAQF,Compass Digital Acquisition Corp.,11.02,USD,0,21001,0.84189554,85863508.99999999,USD,,-0.6139,USD,-339.89839781,0,Finance,
CDT,Conduit Pharmaceuticals Inc.,1.039,USD,-8.05309735,993452,0.53488519,4890811.14247788,USD,,-21.066,USD,-3100.85470085,0,Health technology,
CDTG,CDT Environmental Technology Investment Holdings Limited,1.34,USD,6.34920635,2293,0.04170471,14338000,USD,14.83942414,0.0903,USD,-3.42245989,0,Producer manufacturing,
CEAD,CEA Industries Inc.,7.855,USD,1.2242268,15532,0.78130738,6302427.87048969,USD,,-4.4034,USD,7.83238446,0,Producer manufacturing,
CEE,"The Central and Eastern Europe Fund, Inc. (The)",14.75,USD,1.09664154,13457,0.13342971,93311900,USD,5.20043719,2.8363,USD,-0.68977591,2.42084,Miscellaneous,
CEFC,Commercial National Financial Corp (MI),10.76,USD,-1.73515982,950,0.29580272,42666670.05057471,USD,7.29936911,1.4741,USD,-5.30609623,5.14943,Finance,
CELU,Celularity Inc.,1.2,USD,11.11111111,83281,0.32152008,28569300,USD,,-1.5634,USD,84.64303957,0,Commercial services,
CELZ,"Creative Medical Technology Holdings, Inc.",6.69,USD,11.68614357,76989,0.52887776,11692996.43739566,USD,,-3.7966,USD,45.45428424,0,Health technology,Strong buy
CERO,"CERo Therapeutics Holdings, Inc.",1.475,USD,2.78029406,97398,0.41669341,4469151.33091771,USD,,-43.791,USD,-17.52818035,0,Health technology,
CETX,Cemtrex Inc.,1.53,USD,0.65789474,10748,0.11801224,2730399.75,USD,,-3240.5955,USD,63.99250715,0,Electronic technology,
CEV,Eaton Vance California Municipal Income Trust Shares of Beneficial Interest,10.38,USD,0.53268765,967,0.03998892,72621700,USD,13.33162086,0.7786,USD,49.90373508,5.27458,Miscellaneous,
CFSB,"CFSB Bancorp, Inc.",7.54,USD,-2.58397933,1781,0.19213757,49376259.24823605,USD,,-0.0078,USD,-113.17567568,0,Finance,
CGTL,Creative Global Technology Holdings Limited,3.28,USD,0.3058104,1807,0.11211207,70314974.9235474,USD,128.125,0.0256,USD,36.17021277,0,Distribution services,
CHCI,"Comstock Holding Companies, Inc.",6.895,USD,7.734375,15172,1.4425207,68183127,USD,11.58045012,0.5954,USD,-16.6689993,0,Consumer durables,
CHEB,Chenghe Acquisition II Co.,10.21,USD,0.29469548,5155,0.1665622,92433165.99706028,USD,,,,,0,Finance,
CHR,"Cheer Holding, Inc.",1.755,USD,-2.5,1772,0.0292004,18051171.45,USD,0.51736336,3.3922,USD,-3.79193965,0,Technology services,
CHRO,Channel Therapeutics Corporation,2.2799,USD,-0.00438596,1052,0.02952452,13743297.19736842,USD,,-1.7309,USD,-144.61560204,0,Health technology,
CIBN,"Community Investors Bancorp, Inc.",17.9025,USD,-0.26462396,202,0.08176482,14235924.85685538,USD,11.16812227,1.603,USD,18.33751661,2.1465,Finance,
CIF,MFS Intermediate High Income Fund,1.73,USD,-0.57471264,105339,0.51045067,31332900,USD,7.52173913,0.23,USD,51.21630506,10.1328,Miscellaneous,
CIIT,Tianci International Inc.,4,USD,94.17475728,610,1.63978495,59127213,USD,816.32653061,0.0049,USD,,0,Finance,
CING,Cingulate Inc.,3.6499,USD,-5.1974026,58151,0.52826654,11724328.23127273,USD,,-85.7927,USD,78.06315995,0,Health technology,Strong buy
CISO,"CISO Global, Inc.",1.03,USD,-3.73831776,7998,0.01591197,12176522.34579439,USD,,-2.4546,USD,68.03490038,0,Technology services,
CIZN,Citizens Holding Co.,10.05,USD,0,119,0.05220672,56521718.99999999,USD,10.31403941,0.9744,USD,194.38066465,6.36816,Finance,
CJET,"Chijet Motor Company, Inc.",1.28,USD,0,395,0.05175712,6856839,USD,,-9.213,USD,-678.125,0,Consumer durables,
CKX,"CKX Lands, Inc.",12.0933,USD,2.05316456,209,0.06600764,24513505.88149367,USD,55.04460628,0.2197,USD,,0,Miscellaneous,
CLEU,China Liberal Education Holdings Limited,2.9292,USD,-18.40668524,129578,0.36988754,9861341.09649025,USD,,,,,0,Commercial services,
CLEV,Concrete Leveling Systems Inc.,2.25,USD,25.69832402,132,0.04046101,31562626.00000001,USD,,-0.0046,USD,-9.52380952,0,Consumer durables,
CLGN,CollPlant Biotechnologies Ltd.,3.17,USD,-0.54901961,460,0.09975711,36310802.0454902,USD,,-1.5209,USD,-146.77916599,0,Health technology,Strong buy
CLNN,Clene Inc.,4.37,USD,2.58215962,4667,0.10461874,36383934.75117371,USD,,-0.2792,USD,41.82121275,0,Health technology,Strong buy
CLPR,Clipper Realty Inc.,4.5945,USD,0.75657895,4136,0.05876427,73628246,USD,,-0.2473,USD,42.13851193,8.33333,Finance,Strong sell
CLPS,CLPS Incorporation,1.24,USD,-0.8,21024,1.17339763,34522430.30400001,USD,,-0.0928,USD,-1245.67901235,0,Technology services,
CLRC,ClimateRock,11.92,USD,0.50590219,117,0.13319672,54261010.03685092,USD,,-0.1095,USD,-502.57352941,0,Finance,
CLST,"Catalyst Bancorp, Inc.",11.795,USD,0.46848382,7393,0.99222913,51218925.80832978,USD,,-0.7366,USD,-661.43292683,0,Finance,
CLWT,Euro Tech Holdings Company Limited,1.41,USD,1.43884892,1797,0.04275731,10879981.98561151,USD,5.11796733,0.2755,USD,615.58441558,0,Electronic technology,
CLYM,"Climb Bio, Inc.",1.41,USD,2.17391304,46101,0.1043613,94893004.08695655,USD,,-2.1341,USD,-44.50839653,0,Health technology,Strong buy
CMCAF,Capitalworks Emerging Markets Acquisition Corp,11.4,USD,1.33333333,25000,32.90772673,76285722,USD,,,,,0,Finance,
CMMB,Chemomab Therapeutics Ltd.,1.3899,USD,6.91538462,19874,0.01194779,24513593,USD,,-0.8857,USD,57.92798784,0,Health technology,Strong buy
CMND,Clearmind Medicine Inc.,1.175,USD,3.07017544,4630,0.08693856,5150301.22807018,USD,,-1.9762,USD,96.36141353,0,Non-energy minerals,
CMPD,"CompuMed, Inc.",3.8,USD,0,141,0.09066941,4801221,USD,22.4852071,0.169,USD,,0,Health services,
CMRB,First Commerce Bancorp Inc.,4.64,USD,0.21598272,100,0.05229852,96429021.16630667,USD,22.55712202,0.2057,USD,-64.57723437,3.45572,Finance,
CMTL,Comtech Telecommunications Corp.,1.92,USD,0,73317,0.20614397,56008094,USD,,-9.8959,USD,-1042.58168803,0,Electronic technology,Buy
CMTV,Community Bancorp.,17.65,USD,-0.56338028,2205,0.8390411,98448063,USD,8.09187603,2.1812,USD,-17.89196311,5.32578,Finance,
CMU,MFS Municipal Income Trust,3.61,USD,0.13869626,2977,0.0830912,91901500,USD,7.35383989,0.4909,USD,1031.10599078,4.47989,Miscellaneous,
CNAF,Commercial National Financial Corp. (PA),7,USD,0,925,0.28075394,20027000,USD,,,,,10.5714,Finance,
CNBN,"CNB Bank Shares, Inc.",18.4,USD,0.54644809,2917,0.59924401,98953585.38753387,USD,6.6025549,2.7868,USD,11.76258272,3.08943,Finance,
CNBZ,CNB Corp. (MI),18.5,USD,0,174,0.52631579,22422000,USD,,,,,4.32432,Finance,
CNDA,Concord Acquisition Corp II,10.75,USD,0,1261,0.12307722,98754639,USD,,-0.1847,USD,-183.49909584,0,Finance,
CNET,ZW Data Action Technologies Inc.,1.48,USD,-1.33333333,835,0.06732296,3220794.74666667,USD,,-1.4734,USD,-23.26612566,0,Commercial services,
CNF,CNFinance Holdings Limited,1.0499,USD,-0.95283019,12646,0.59635472,72697088,USD,,,,,0,Finance,
CNRD,"Conrad Industries, Inc.",12.45,USD,10.0795756,4638,2.48273647,63656851.10079575,USD,,-0.3287,USD,92.76134687,0,Industrial services,
CNSP,"CNS Pharmaceuticals, Inc.",2.32,USD,2.65486726,28459,0.03835637,6356800,USD,,-3750.974,USD,82.4062308,0,Health technology,Strong buy
CNTY,"Century Casinos, Inc.",2.755,USD,-0.18115942,2878,0.04488235,84530572.98188406,USD,,-2.4225,USD,-241.91954834,0,Consumer services,Strong buy
CNVS,Cineverse Corp.,3.6029,USD,4.73546512,20308,0.0813554,57572750.02093022,USD,,-0.9888,USD,-0.94946401,0,Consumer services,Strong buy
COCH,"Envoy Medical, Inc.",1.38,USD,5.34351145,996,0.05031142,29385527.22137405,USD,,-1.2141,USD,-4420.6405694,0,Health technology,Strong buy
COCP,"Cocrystal Pharma, Inc.",1.78,USD,1.13636364,5074,0.20088208,18109345.79545455,USD,,-1.8382,USD,8.73342932,0,Health technology,Strong buy
CODA,"Coda Octopus Group, Inc.",6.6091,USD,-4.76801153,5584,0.27165611,74146193.93567723,USD,20.46160991,0.323,USD,17.45454545,0,Electronic technology,Strong buy
COE,51Talk Online Education Group,16.5,USD,-1.31578947,6068,0.64702558,95666324,USD,,-1.7796,USD,9.7108067,0,Technology services,
COEP,"Coeptis Therapeutics Holdings, Inc.",10.9,USD,-0.90909091,4197,0.04969034,35335818.18181818,USD,,-6.3496,USD,65.9272138,0,Health technology,
COHN,Cohen & Company Inc.,9.295,USD,-0.37513398,2162,0.5290591,18126661.68435156,USD,2.27556491,4.0847,USD,,10.7181,Finance,
COLAU,Columbus Acquisition Corp,10.15,USD,0.29644269,322,0.01818849,63184529,USD,,,,,0,Finance,
COOT,Australian Oilseeds Holdings Limited,1.3946,USD,8.10852713,2039,0.1413822,32388332.02217055,USD,,,,,0,Finance,
CPBI,"Central Plains Bancshares, Inc.",14.75,USD,0,256,0.01737466,62571100,USD,6.6146464,2.2299,USD,,0,Finance,
CPIX,Cumberland Pharmaceuticals Inc.,6.605,USD,9.17355372,350664,1.02166877,92749420.9768595,USD,,-0.769,USD,-352.61918776,0,Health technology,
CPKF,"Chesapeake Financial Shares, Inc.",18.1,USD,-2.16216216,1000,0.53853196,87426710.0108108,USD,7.47316268,2.422,USD,12.861137,3.40541,Finance,
CPSH,CPS Technologies Corp.,1.5,USD,-0.89197225,2845,0.06839814,21788939.54410307,USD,,-0.1378,USD,-234.43902439,0,Producer manufacturing,
CPTP,"Capital Properties, Inc.",9.75,USD,0.93167702,3510,2.39231189,64349999.00000001,USD,27.50352609,0.3545,USD,-0.47725997,2.8718,Finance,
CRBP,"Corbus Pharmaceuticals Holdings, Inc.",6.64,USD,-1.92023634,84524,0.36606624,80871763.28508124,USD,,-4.695,USD,57.99597406,0,Health technology,Strong buy
CREV,Carbon Revolution Public Limited Company,3.04,USD,3.75426621,2382,0.06499921,5730959.23549488,USD,,,,,0,Producer manufacturing,
CREX,"Creative Realities, Inc.",1.95,USD,0.51546392,27082,0.45184864,20370985.5927835,USD,27.04576976,0.0721,USD,,0,Commercial services,Strong buy
CRGH,Carriage House Event Center Inc.,2.814,USD,173.2038835,4400,,12522300,USD,,-0.0061,USD,-74.28571429,0,Finance,
CRIS,"Curis, Inc.",3.03,USD,1.67785235,3006,0.10107633,25654879.852349,USD,,-7.8097,USD,16.43804836,0,Health technology,Buy
CRKN,CROWN ELECTROKINETICS CORP,2.5,USD,,114249,,3858137.71929825,USD,,-12383.754,USD,98.18448953,0,Commercial services,
CRMZ,"CreditRiskMonitor.com, Inc.",2.7,USD,-0.73529412,1000,0.50438818,28949400.99264707,USD,20.76923077,0.13,USD,-13.27551701,0,Commercial services,
CRT,Cross Timbers Royalty Trust,10.7,USD,-0.92592593,3987,0.15599019,64800000.99999999,USD,9.47321824,1.1295,USD,-43.02073349,8.76206,Miscellaneous,
CRVO,CervoMed Inc.,2.13,USD,0.47169811,10829,0.15023335,17580468.41037736,USD,,-1.6362,USD,80.1884051,0,Commercial services,Neutral
CRWS,"Crown Crafts, Inc.",3.98,USD,2.31362468,2159,0.10374022,41367092.77120822,USD,16.89303905,0.2356,USD,-49.05945946,8.22622,Consumer durables,
CSLMF,CSLM Acquisition Corp.,11.61,USD,-3.25,843,0.6180805,71011831.7368421,USD,235.4969574,0.0493,USD,-82.68352652,0,Finance,
CTHR,Charles & Colvard Ltd.,1.0869,USD,0.63888889,2456,0.14909155,3389251.08472222,USD,,,,,0,Consumer durables,
CTNT,Cheetah Net Supply Chain Service Inc.,1.72,USD,3.61445783,6137,0.13098638,5536483.13253012,USD,,-2.0528,USD,,0,Industrial services,Neutral
CTOR,"Citius Oncology, Inc.",1.16,USD,6.42201835,7771,0.17584193,83000785.06422018,USD,,-0.0788,USD,-129.2501856,0,Health technology,Strong buy
CTRM,Castor Maritime Inc.,2.3912,USD,0.47058824,6252,0.11000961,23104620.36235294,USD,0.74994512,3.1885,USD,-35.74293142,0,Transportation,
CTSO,Cytosorbents Corporation,1.07,USD,7,78911,0.95982786,58668253.01000001,USD,,-0.3563,USD,33.06406162,0,Health technology,Buy
CTXR,"Citius Pharmaceuticals, Inc.",1.605,USD,-0.31055901,10290,0.037436,13792458.83850932,USD,,-5.8022,USD,8.9922359,0,Health technology,Strong buy
CTYP,Community Bankers (PA),5.5,USD,10,600,0.33226271,12410910,USD,,,,,4.54545,Finance,
CUBA,"The Herzfeld Caribbean Basin Fund, Inc.",2.475,USD,-1,31047,0.21143537,39302200,USD,12.12047013,0.2042,USD,-79.3487055,16.245,Miscellaneous,
CUE,"Cue Biopharma, Inc.",1.16,USD,-0.85470085,53927,0.31805957,73486375.76068376,USD,,-0.9063,USD,24.33628319,0,Health technology,Strong buy
CULL,"Cullman Bancorp, Inc.",10.15,USD,0,3000,0.96435115,73560854,USD,,,,,1.18227,Finance,
CULP,"Culp, Inc.",5.095,USD,-0.09803922,765,0.05292982,63988759.35784312,USD,,-1.6791,USD,-6.62306325,0,Process industries,
CURR,Currenc Group Inc.,2.07,USD,-1.8957346,69485,0.07463836,96312955.09478672,USD,,-0.0076,USD,-104.64831804,0,Finance,
CVGI,"Commercial Vehicle Group, Inc.",1.95,USD,2.09424084,94315,0.37123325,67272224.05759162,USD,1.9106408,1.0206,USD,,0,Producer manufacturing,Strong buy
CVKD,"Cadrenal Therapeutics, Inc.",16.6661,USD,-5.1445646,30552,0.58029813,29707088.95707456,USD,,-7.2994,USD,53.07541978,0,Health technology,
CVR,Chicago Rivet & Machine Co.,13.75,USD,-2.74575264,1899,1.07873211,13284316,USD,,-3.6697,USD,15.00602186,2.4,Producer manufacturing,
CVU,"CPI Aerostructures, Inc.",3.49,USD,0,3411,0.06786088,45372337,USD,2.60408894,1.3402,USD,80.32831001,0,Electronic technology,
CVV,CVD Equipment Corporation,3.09,USD,0.98039216,1299,0.06291958,21264878.12745098,USD,,-0.6313,USD,-1116.37764933,0,Electronic technology,
CXAI,CXApp Inc.,1.065,USD,2.40384615,49120,0.09788679,19852846.2548077,USD,,-3.5396,USD,-43.59432049,0,Technology services,
CXH,MFS Investment Grade Municipal Trust,8.13,USD,0.37037037,857,0.07264128,66413700.00000001,USD,9.19059462,0.8846,USD,418.82697947,3.73457,Miscellaneous,
CYCN,"Cyclerion Therapeutics, Inc.",2.53,USD,-3.80228137,23939,0.25934814,6856542.41825095,USD,,-2.1159,USD,81.9243452,0,Health technology,
CYN,Cyngn Inc.,6.55,USD,-2.09267564,45629,0.09051284,11474447.63079223,USD,,-3935.3205,USD,56.57163965,0,Technology services,
CYSM,Community Bancorp of Santa Maria,11.05,USD,-0.98566308,2296,0.89806775,23888509,USD,7.23546359,1.5272,USD,-15.83820126,2.26244,Finance,
CZBC,Citizens Bancorp,10.15,USD,0,1526,1.63121325,55967642.34328359,USD,13.74593716,0.7384,USD,-43.90762686,3.18408,Finance,
DAIO,Data I/O Corporation,2.53,USD,1.2,752,0.02420902,23367125.54,USD,,-0.3382,USD,-732.14953271,0,Producer manufacturing,Strong buy
DALN,DallasNews Corporation - Series A,6.4162,USD,0.41001565,2644,0.07365559,34342645.23348984,USD,,-1.1298,USD,14.17502279,5.00783,Consumer services,
DARE,"Dare Bioscience, Inc.",3.05,USD,0,1801,0.04630106,26536186,USD,,-0.4414,USD,92.24893322,0,Health technology,Buy
DATS,"DatChat, Inc.",2.15,USD,1.41509434,14906,0.0411213,9050056.86320755,USD,,-1.8197,USD,64.42563341,0,Technology services,
DBGI,"Digital Brands Group, Inc.",5.3,USD,5.59872485,1791,0.02402827,5109830.42438733,USD,,-646.878,USD,97.62735815,0,Consumer non-durables,
DECA,Denali Capital Acquisition Corp.,12.06,USD,0.5,101,0.0320523,40091503.90329304,USD,83.00068823,0.1453,USD,,0,Finance,
DFLI,Dragonfly Energy Holdings Corp,1.35,USD,-3.57142857,15291,0.245118,9795703.17857143,USD,,-4.1008,USD,22.4816166,0,Producer manufacturing,Strong buy
DLHC,DLH Holdings Corp.,4.77,USD,-0.83160083,1931,0.0482598,68623451.28898129,USD,10.96803863,0.4349,USD,232.23834989,0,Commercial services,Strong buy
DLPN,"Dolphin Entertainment, Inc.",1.06,USD,2.91262136,7622,0.31474148,11831747.78640777,USD,,-2.962,USD,-7.00867052,0,Commercial services,Strong buy
DLTH,Duluth Holdings Inc.,2.589,USD,1.1328125,4415,0.15041155,91073131.640625,USD,,-0.9918,USD,-268.97321429,0,Retail trade,Neutral
DM,"Desktop Metal, Inc.",2.1,USD,2.43902439,27997,0.13572579,70016978.92682926,USD,,-11.1502,USD,22.83011163,0,Electronic technology,Neutral
DMYY,"dMY Squared Technology Group, Inc.",11.1201,USD,0.18108108,10698,0.04550073,43572287.55251353,USD,,-0.0039,USD,95.59322034,0,Finance,
DNMR,"Danimer Scientific, Inc.",1.17,USD,-2.5,3190,0.34649809,3711753.825,USD,,-41.0112,USD,-144.6093284,0,Process industries,Neutral
DOMH,Dominari Holdings Inc.,6.3513,USD,-5.76706231,261210,0.22799276,91426497.04695846,USD,,-3.7477,USD,18.74728991,0,Finance,
DRMA,"Dermata Therapeutics, Inc.",1.1,USD,0.0727802,48247,0.22822428,5893998.54439593,USD,,-21.424,USD,74.53331685,0,Health technology,Strong buy
DSWL,"Deswell Industries, Inc.",2.31,USD,-1.86915888,422,0.03280626,36810403.45794393,USD,3.56591541,0.6478,USD,67.65010352,8.49618,Producer manufacturing,
DSY,Big Tree Cloud Holdings Limited,1.64,USD,-6.28571429,58266,1.08688596,8201255.77142857,USD,,,,,0,Miscellaneous,
DTF,DTF Tax-Free Income 2028 Term Fund Inc.,11.3,USD,-0.08841733,4390,0.55723389,79504400,USD,18.77700233,0.6018,USD,37.39726027,3.44828,Miscellaneous,
DTIL,"Precision BioSciences, Inc.",5.1,USD,0.19646365,50126,0.29065223,40248032.71119843,USD,99.80430528,0.0511,USD,,0,Health technology,Strong buy
DTSQ,DT Cloud Star Acquisition Corporation,10.18,USD,0,418,0.00401325,90611200,USD,,,,,0,Finance,
DTSS,Datasea Inc.,2.08,USD,0,12217,0.27238412,15577955,USD,,-3.6961,USD,-958.75107419,0,Electronic technology,
DTST,Data Storage Corporation,3.7,USD,-0.26954178,6460,0.17656159,25953179.2722372,USD,185.92964824,0.0199,USD,,0,Technology services,Strong buy
DUOT,"Duos Technologies Group, Inc.",5.7,USD,-2.73037543,27880,0.23115694,47940565.90443686,USD,,-1.4209,USD,-13.06596642,0,Technology services,Strong buy
DWSN,Dawson Geophysical Company,1.34,USD,0.7518797,5336,1.26200274,41517806,USD,,-0.1754,USD,65.56057334,0,Technology services,
DWTX,"Dogwood Therapeutics, Inc.",4.08,USD,-1.68674699,6035,0.08385904,5435286.53493976,USD,,-6.3082,USD,25.17673293,0,Health technology,Strong buy
DXF,Dunxin Financial Holdings Limited American Depositary Shares,7.8978,USD,6.15322581,75515,1.6849445,1332342,USD,,-1779.9194,USD,-309.54433369,0,Finance,
DXR,Daxor Corporation,7.1503,USD,-5.16843501,262,0.03066551,36470400,USD,20.27878616,0.3526,USD,-65.96853586,0,Miscellaneous,
DXST,Decent Holding Inc.,1.07,USD,-1.83486239,16619,0.29544836,17387500,USD,,,,,0,Industrial services,
DYAI,"Dyadic International, Inc.",1.4352,USD,1.78723404,12012,0.31188011,42466664.12936171,USD,,-0.2183,USD,8.73745819,0,Health services,Strong buy
DYCQ,DT Cloud Acquisition Corporation,10.58,USD,0.09460738,212,0.00263522,94828529.99053925,USD,74.61212976,0.1418,USD,,0,Finance,
DYNR,"DynaResource, Inc.",1.03,USD,3,2000,1.11166694,30311072.78,USD,,-0.7039,USD,-363.39697169,0,Non-energy minerals,
DYNX,Dynamix Corporation,9.9,USD,0.30395137,1031,0.00742907,56925000,USD,,,,,0,Finance,
EBON,Ebang International Holdings Inc.,4.43,USD,-1.00558659,1042,0.06764565,28989647.76536313,USD,,-5.6018,USD,,0,Electronic technology,
EBSH,Empire Bancshares Inc.,18.05,USD,-0.27624309,1600,1.00819156,11936000,USD,,,,,2.49308,Finance,
EDAP,EDAP TMS S.A.,2.5676,USD,3.44049633,382,0.01964081,92098997,USD,,-0.5731,USD,-14.20884815,0,Health technology,Strong buy
EDBL,Edible Garden AG Incorporated,2.015,USD,-12.39130435,68219,0.41411216,2449438.38043478,USD,,-759.4608,USD,86.86203997,0,Process industries,Strong buy
EDRY,EuroDry Ltd.,10.54,USD,-0.56603774,6827,0.58039396,29793387,USD,,-3.5343,USD,-238.08111728,0,Transportation,Buy
EDSA,"Edesa Biotech, Inc.",2.23,USD,3.72093023,67640,0.92580426,15468181.33488372,USD,,-1.8805,USD,-126.53897121,0,Health technology,
EDTK,Skillful Craftsman Education Technology Limited,1,USD,0,30352,2.14702054,15929451,USD,,-0.4675,USD,61.88651557,0,Commercial services,
EDUC,Educational Development Corporation,1.32,USD,-2.68357417,9467,0.70144631,11330353.90740195,USD,,-0.6691,USD,-2121.45015106,0,Consumer services,
EDVR,Endeavor Bancorp,14,USD,2.94117647,1830,1.27127475,47945967.00000001,USD,,,,,0,Finance,
EEA,"The European Equity Fund, Inc.",9.22,USD,0.77053391,20347,1.04648412,61783900,USD,10.97488394,0.8401,USD,-53.78733704,1.95202,Miscellaneous,
EFOI,"Energy Focus, Inc.",2.55,USD,4.50819672,40730,0.07493164,13414890.55327869,USD,,-0.4654,USD,84.24989001,0,Producer manufacturing,
EFSG,"Enterprise Financial Services Group, Inc.",17.55,USD,0,100,0.28081999,20429057.10473458,USD,6.43186982,2.7286,USD,43.4595163,2.5538,Finance,
EGF,"Blackrock Enhanced Government Fund, Inc.",9.74,USD,0.41237113,110,0.02802191,34450500,USD,47.55859375,0.2048,USD,,5.07217,Miscellaneous,
